Date,Source,Medium,Campaign,Device,Sessions,TotalUsers,NewUsers,FF_Purchase_Event_Count,FF_Lead_Event_Count,FF_BRSubmit_Event_Count,FF_DMSubmit_Event_Count,FF_PhoneGet_Event_Count,FF_HRSubmit_Event_Count,HR_Submit_Event_New_Traveler_Lead_Count,Impressions,Impression_population,Clicks,Cost,Total Traveler Actions,Traveler Value,Landlord Value,Channel_Group
20240813,google,cpc,Display - Prospecting,mobile,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240813,google,cpc,Display - Retargeting,desktop,0,0,0,0,6,0,1,7,2,0,0,0.0,0,0.0,10,20,0,Paid Social + Display
20240813,google,cpc,Display - Retargeting,mobile,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240814,google,cpc,Display - Prospecting,desktop,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240814,google,cpc,Display - Retargeting,desktop,0,0,0,0,1,0,10,2,0,0,0,0.0,0,0.0,12,24,0,Paid Social + Display
20240814,google,cpc,Display - Retargeting,mobile,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240815,google,cpc,Display - Prospecting,desktop,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240815,google,cpc,Display - Prospecting,mobile,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240815,google,cpc,Display - Retargeting,desktop,0,0,0,0,3,0,6,1,0,0,0,0.0,0,0.0,7,14,0,Paid Social + Display
20240815,google,cpc,Display - Retargeting,mobile,0,0,0,0,1,1,0,0,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240816,google,cpc,Display - Prospecting,desktop,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240816,google,cpc,Display - Retargeting,desktop,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240817,google,cpc,Display - Prospecting,desktop,0,0,0,0,3,0,0,0,1,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240817,google,cpc,Display - Prospecting,mobile,0,0,0,0,2,0,0,0,1,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240817,google,cpc,Display - Retargeting,desktop,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0.0,2,4,0,Paid Social + Display
20240817,google,cpc,Display - Retargeting,mobile,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240817,google,cpc,Display - Retargeting,tablet,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240818,google,cpc,Display - Prospecting,desktop,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240818,google,cpc,Display - Prospecting,mobile,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240818,google,cpc,Display - Retargeting,desktop,0,0,0,0,2,0,1,0,1,0,0,0.0,0,0.0,2,4,0,Paid Social + Display
20240818,google,cpc,Display - Retargeting,mobile,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240819,google,cpc,Display - Prospecting,desktop,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240819,google,cpc,Display - Prospecting,mobile,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240819,google,cpc,Display - Retargeting,desktop,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240819,google,cpc,Display - Retargeting,mobile,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240820,google,cpc,Display - Prospecting,desktop,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240820,google,cpc,Display - Prospecting,mobile,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240820,google,cpc,Display - Retargeting,desktop,0,0,0,0,1,3,5,0,1,0,0,0.0,0,0.0,9,18,0,Paid Social + Display
20240820,google,cpc,Display - Retargeting,mobile,0,0,0,0,1,1,0,0,1,0,0,0.0,0,0.0,2,4,0,Paid Social + Display
20240821,google,cpc,Display - Prospecting,desktop,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240821,google,cpc,Display - Retargeting,desktop,0,0,0,0,3,0,0,1,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240821,google,cpc,Display - Retargeting,mobile,0,0,0,0,3,0,0,0,1,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240822,google,cpc,Display - Prospecting,desktop,0,0,0,0,2,0,0,0,1,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240822,google,cpc,Display - Retargeting,desktop,0,0,0,0,1,0,3,0,0,0,0,0.0,0,0.0,3,6,0,Paid Social + Display
